"","id","site","location","latitude","longitude","depth","temperature","total_length","total_weight","age","logTL","logDepth","logAge","logTW"
"17","017-Po-11/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,19.7,28,76,4.7,0.336833015800018,4.33073334028633,2.98061863574394,-1.0881679735086,1.54756250871601
"18","018-Po-11/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,19.3,28,123,22.1,0.503775650539448,4.81218435537242,2.96010509591084,-0.685624247832573,3.09557760852371
"19","019-Po-12/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,21.3,28,262,243.7,1.22097690710278,5.5683445037611,3.05870707271538,0.199651281847977,5.49593796063116
"20","020-Po-12/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,9.4,28,34,0.3,0.205928797514299,3.52636052461616,2.24070968927596,-1.58022481307538,-1.20397280432594
"21","021-Pd-13/07/10","PuertoAventuras","Pared",20.50166667,-87.21166667,12.5,29,124,21.1,0.507608246537902,4.82028156560504,2.52572864430826,-0.678045297139313,3.04927304048202
"22","022-Cs-14/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,28.5,29,213,125.6,0.914018088650051,5.36129216570943,3.3499040872746,-0.0899049170782493,4.8331022540341
"23","023-Cs-14/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,31.2,29,123,22.9,0.503775650539448,4.81218435537242,3.44041809481544,-0.685624247832573,3.13113691056019
"24","024-Cu-14/07/10","PuertoAventuras","Cuevitas",20.477743,-87.243813,7.4,29,116,18.6,0.477303420308173,4.75359019110636,2.00148000021012,-0.739602889045463,2.92316158071916
"25","025-Is-16/07/10","PuertoAventuras","Islas",20.49,-87.22805556,18.2,28,150,34.4,0.612082673044363,5.01063529409626,2.90142159408275,-0.490887918919398,3.53805656437935
"26","026-Is-16/07/10","PuertoAventuras","Islas",20.49,-87.22805556,18.2,28,76,3.9,0.336833015800018,4.33073334028633,2.90142159408275,-1.0881679735086,1.3609765531356
